27.05,28.02,28.24,27.32,27.63,28.31,27.84,27.24,0.0
27.11,28.6,28.41,27.36,27.79,29.36,27.96,27.24,5.0
27.27,30.29,28.91,27.41,28.45,31.63,28.25,27.24,10.0
27.64,32.33,29.71,27.54,29.57,33.91,28.81,27.25,15.0
28.22,34.33,30.64,27.77,30.92,35.92,29.64,27.26,20.0
28.95,36.15,31.6,28.07,32.36,37.68,30.62,27.27,25.0
29.77,37.77,32.54,28.45,33.8,39.23,31.71,27.3,30.0
30.62,39.21,33.41,28.88,35.22,40.63,32.86,27.33,35.0
31.5,40.48,34.25,29.34,36.6,41.91,34.03,27.38,40.0
32.38,41.63,35.03,29.81,37.94,43.1,35.19,27.45,45.0
33.24,42.67,35.74,30.29,39.22,44.22,36.31,27.52,50.0
34.09,43.61,36.42,30.78,40.45,45.26,37.4,27.63,55.0
34.92,44.48,37.05,31.27,41.62,46.25,38.45,27.75,60.0
35.73,45.28,37.64,31.74,42.74,47.19,39.45,27.9,65.0
36.52,46.03,38.2,32.22,43.81,48.09,40.4,28.06,70.0
37.29,46.73,38.73,32.68,44.82,48.93,41.31,28.23,75.0
38.03,47.39,39.24,33.15,45.79,49.74,42.18,28.43,80.0
38.75,48.01,39.72,33.6,46.73,50.51,43.01,28.63,85.0
39.45,48.6,40.17,34.05,47.62,51.25,43.78,28.85,90.0
40.13,49.16,40.61,34.48,48.46,51.95,44.52,29.09,95.0
40.78,49.7,41.03,34.9,49.28,52.63,45.22,29.32,100.0
41.42,49.97,41.39,35.32,50.03,52.78,45.86,29.57,105.0
41.99,49.23,41.44,35.72,50.42,51.71,46.37,29.82,110.0
42.35,47.94,41.16,36.04,50.33,50.31,46.55,30.08,115.0
42.49,46.56,40.73,36.27,49.94,49.03,46.42,30.34,120.0
42.46,45.32,40.26,36.4,49.39,47.95,46.06,30.6,125.0
42.31,44.25,39.79,36.46,48.77,47.04,45.56,30.86,130.0
42.1,43.35,39.36,36.47,48.14,46.27,44.98,31.11,135.0
41.86,42.59,38.97,36.44,47.5,45.6,44.36,31.34,140.0
41.6,41.96,38.63,36.39,46.88,45.01,43.73,31.56,145.0
41.33,41.43,38.33,36.33,46.3,44.48,43.12,31.77,150.0
41.07,40.98,38.06,36.25,45.73,44.01,42.53,31.95,155.0
40.81,40.59,37.83,36.17,45.2,43.57,41.97,32.11,160.0
40.56,40.28,37.63,36.08,44.7,43.17,41.44,32.25,165.0
40.32,39.99,37.45,36.0,44.23,42.8,40.95,32.38,170.0
40.09,39.75,37.29,35.91,43.78,42.46,40.5,32.48,175.0
39.87,39.55,37.15,35.83,43.37,42.14,40.08,32.57,180.0
39.66,39.36,37.03,35.75,42.98,41.85,39.69,32.64,185.0
39.47,39.21,36.92,35.67,42.62,41.59,39.34,32.7,190.0
39.28,39.07,36.82,35.6,42.28,41.33,39.01,32.74,195.0
39.11,38.95,36.74,35.52,41.96,41.1,38.71,32.78,200.0
38.95,39.07,36.7,35.45,41.68,41.38,38.45,32.81,205.0
38.85,40.3,36.98,35.4,41.81,43.16,38.35,32.83,210.0
38.94,42.08,37.59,35.41,42.46,45.16,38.56,32.84,215.0
39.27,43.91,38.38,35.52,43.41,46.94,39.06,32.85,220.0
39.77,45.58,39.22,35.72,44.48,48.47,39.78,32.86,225.0
40.36,47.05,40.05,35.99,45.6,49.8,40.62,32.87,230.0
41.02,48.35,40.84,36.32,46.72,50.97,41.54,32.88,235.0
41.7,49.49,41.59,36.69,47.81,52.03,42.49,32.91,240.0
42.39,50.51,42.28,37.07,48.86,53.01,43.45,32.96,245.0
43.08,51.41,42.92,37.47,49.88,53.9,44.4,33.01,250.0
43.76,52.23,43.51,37.87,50.86,54.75,45.32,33.09,255.0
44.43,52.97,44.07,38.28,51.79,55.55,46.21,33.19,260.0
45.07,53.65,44.59,38.68,52.68,56.3,47.06,33.29,265.0
45.71,54.28,45.08,39.08,53.54,57.01,47.87,33.42,270.0
46.33,54.86,45.53,39.47,54.35,57.69,48.63,33.56,275.0
46.93,55.4,45.96,39.85,55.12,58.33,49.34,33.72,280.0
47.51,55.92,46.39,40.24,55.86,58.94,50.04,33.9,285.0
48.07,56.4,46.79,40.61,56.57,59.53,50.7,34.08,290.0
48.6,56.81,47.18,40.99,57.18,59.99,51.33,34.28,295.0
49.14,57.28,47.55,41.35,57.84,60.57,51.92,34.49,300.0
49.65,57.58,47.89,41.71,58.44,60.81,52.49,34.7,305.0
50.11,56.97,47.95,42.05,58.77,59.81,52.91,34.92,310.0
50.41,55.68,47.67,42.33,58.63,58.33,53.04,35.15,315.0
50.48,54.27,47.2,42.52,58.15,56.91,52.86,35.38,320.0
50.37,52.94,46.67,42.61,57.5,55.68,52.44,35.6,325.0
50.15,51.79,46.13,42.63,56.78,54.65,51.86,35.83,330.0
49.86,50.8,45.63,42.59,56.03,53.75,51.2,36.06,335.0
49.52,49.96,45.18,42.51,55.28,52.96,50.5,36.26,340.0
49.18,49.25,44.77,42.41,54.55,52.26,49.79,36.46,345.0
48.83,48.63,44.4,42.29,53.84,51.63,49.09,36.63,350.0
48.48,48.11,44.07,42.16,53.18,51.06,48.42,36.79,355.0
48.14,47.65,43.77,42.03,52.54,50.53,47.78,36.93,360.0
47.81,47.25,43.52,41.89,51.93,50.03,47.18,37.04,365.0
47.49,46.89,43.28,41.76,51.36,49.58,46.62,37.14,370.0
47.18,46.59,43.07,41.62,50.81,49.13,46.1,37.22,375.0
46.89,46.31,42.88,41.49,50.3,48.74,45.62,37.28,380.0
46.61,46.07,42.7,41.36,49.83,48.37,45.16,37.33,385.0
46.34,45.84,42.54,41.23,49.38,48.02,44.75,37.36,390.0
